# curie_map:
#   owl: http://www.w3.org/2002/07/owl#
#   schema: https://schema.org/
#   dct: http://purl.org/dc/terms/
#   dcat: http://www.w3.org/ns/dcat#
#   kobo: https://example.org/kobo/
#   gdsc: https://gdsc.idsc.miami.edu/terms/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   ext: https://example.org/sssom-extensions/
#   qudt: http://qudt.org/schema/qudt/
#   unit: http://qudt.org/vocab/unit/
#   xsd: http://www.w3.org/2001/XMLSchema#
#   pato: http://purl.obolibrary.org/obo/PATO_
# extension_definitions:
#   - slot_name: source_jsonpath
#     property: ext:source_jsonpath
#     type_hint: http://www.w3.org/2001/XMLSchema#string
#   - slot_name: target_jsonpath
#     property: ext:target_jsonpath
#     type_hint: http://www.w3.org/2001/XMLSchema#string
#   - slot_name: transform_rule
#     property: ext:transform_rule
#     type_hint: http://www.w3.org/2001/XMLSchema#string
#   - slot_name: context_language
#     property: ext:context_language
#     type_hint: http://www.w3.org/2001/XMLSchema#string
# mapping_set_id: https://example.org/mappings/kobo-record-136-to-schemaorg
# mapping_set_title: Kobo Record 136 to Schema.org Dataset Mapping
# mapping_set_description: SSSOM mapping from KoboToolbox record 136 raw JSON to Gaia Catalog JSON-LD.
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	predicate_id	object_id	mapping_justification	confidence	subject_label	object_label	subject_category	object_category	source_jsonpath	target_jsonpath	transform_rule	comment
kobo:structure	skos:closeMatch	schema:measurementTechnique	semapv:ManualMappingCuration	0.75	Structure	measurementTechnique	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/structure']	$.measurementTechnique	definedterm:termSet=dataRepresentation,termSetUrl=https://gdsc.idsc.miami.edu/vocab/dataRepresentation,name=GIS Data Structure	Emit DefinedTerm with termCode=value (vector/table/raster); inDefinedTermSet pointing to GDSC dataRepresentation vocab.
kobo:geometry	skos:closeMatch	schema:measurementTechnique	semapv:ManualMappingCuration	0.8	Geometry	measurementTechnique	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/geometry']	$.measurementTechnique	definedterm:termSet=vectorGeometry,termSetUrl=https://gdsc.idsc.miami.edu/vocab/vectorGeometry,name=GIS Vector Geometry	Emit DefinedTerm with termCode=value (polygon, point, etc.); inDefinedTermSet pointing to GDSC vector geometry vocab.
kobo:epsg	skos:closeMatch	schema:spatialCoverage	semapv:ManualMappingCuration	0.8	EPSG	spatialCoverage	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/epsg']	$.spatialCoverage.additionalProperty	srs_propertyvalue:uriTemplate=http://www.opengis.net/def/crs/EPSG/0/{value}	Append to spatialCoverage.additionalProperty as PropertyValue with name=Spatial Reference System and full OGC SRS URI as value.
kobo:source	skos:closeMatch	schema:distribution	semapv:ManualMappingCuration	0.9	Source URL	distribution	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/source']	$.distribution	datadownload_source:type=DataDownload,name=Source distribution	Emit {"@type":"DataDownload","name":"Source distribution","contentUrl":value}; merge with format and extension mappings.
kobo:table_name	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.9	Table name	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/table_name']	$.additionalProperty[*]	property_value:name=postgis_table	Gaia/PostGIS table name is operational metadata.
kobo:extension	skos:closeMatch	schema:encodingFormat	semapv:ManualMappingCuration	0.85	Extension	encodingFormat	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/extension']	$.distribution[0].encodingFormat	extension_to_media_type_or_string	zip should become application/zip or remain as source extension.
kobo:format	skos:closeMatch	schema:encodingFormat	semapv:ManualMappingCuration	0.8	Format	encodingFormat	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/format']	$.distribution[0].encodingFormat	format_to_media_type_or_string	shp describes the source data format.
kobo:update_frequency	skos:exactMatch	dct:accrualPeriodicity	semapv:ManualMappingCuration	1.0	Update frequency	accrualPeriodicity	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/update_frequency']	$['dct:accrualPeriodicity']	controlled_value	Update frequency maps to Dublin Core accrual periodicity.
kobo:attributes	skos:closeMatch	schema:variableMeasured	semapv:ManualMappingCuration	0.85	Attributes	variableMeasured	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['cartography_group/attributes_group'][*]	$.variableMeasured	propertyvalue_schema_objects	Map attribute_name→name, attribute_description→description, attribute_type→qudt:dataType (integer→xsd:integer, string→xsd:string, numeric→xsd:float), attribute_unit→unitText, attribute_unit_concept_id→unitCode lookup, attribute_start_date+attribute_end_date→additionalProperty temporal_interval, attribute_concept_id→alternateName.
kobo:temporalCoverage	skos:closeMatch	schema:temporalCoverage	semapv:ManualMappingCuration	0.8	Temporal coverage	temporalCoverage	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['cartography_group/attributes_group'][*]	$.temporalCoverage	date_range_from_attributes:start=attribute_start_date,end=attribute_end_date	Derive ISO 8601 interval string (min start_date/max end_date) across all attribute temporal metadata fields.
kobo:rights	skos:closeMatch	schema:isAccessibleForFree	semapv:ManualMappingCuration	0.75	Rights	isAccessibleForFree	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/rights']	$.isAccessibleForFree	cc_to_boolean	If rights URI contains creativecommons.org or license code is cc_by/cc0, emit boolean true.
